Verbose? (0/1) 
Enter first and last N: 
>>> Level 465 <<< 2 newform(s), 25 eigs on file.
>>> Level 466 <<< 2 newform(s), 25 eigs on file.
>>> Level 467 <<< 1 newform(s), 25 eigs on file.
>>> Level 468 <<< 5 newform(s), 25 eigs on file.
>>> Level 469 <<< 2 newform(s), 25 eigs on file.
>>> Level 470 <<< 6 newform(s), 25 eigs on file.
>>> Level 471 <<< 1 newform(s), 25 eigs on file.
>>> Level 472 <<< 5 newform(s), 25 eigs on file.
>>> Level 473 <<< 1 newform(s), 25 eigs on file.
>>> Level 474 <<< 2 newform(s), 25 eigs on file.
>>> Level 475 <<< 3 newform(s), 25 eigs on file.
>>> Level 476 <<< 0 newform(s), 0 eigs on file.
>>> Level 477 <<< 1 newform(s), 25 eigs on file.
>>> Level 478 <<< 0 newform(s), 0 eigs on file.
>>> Level 479 <<< 0 newform(s), 0 eigs on file.
>>> Level 480 <<< 8 newform(s), 25 eigs on file.
>>> Level 481 <<< 1 newform(s), 25 eigs on file.
>>> Level 482 <<< 1 newform(s), 25 eigs on file.
>>> Level 483 <<< 2 newform(s), 25 eigs on file.
>>> Level 484 <<< 1 newform(s), 25 eigs on file.
>>> Level 485 <<< 2 newform(s), 25 eigs on file.
>>> Level 486 <<< 6 newform(s), 25 eigs on file.
>>> Level 487 <<< 0 newform(s), 0 eigs on file.
>>> Level 488 <<< 0 newform(s), 0 eigs on file.
